Label;(%Miss);Pop:;cluster1;cluster2
J01;0;1;0.002;0.998
J02;0;1;0.002;0.998
J22;-9;1;0.007;0.993
M01;0;2;0.002;0.998
M09;0;2;0.002;0.998
M12;-9;2;0.002;0.998
M17;-18;2;0.997;0.003
M20;0;2;0.002;0.998
M21;-9;2;0.997;0.003
M22;-9;2;0.998;0.002
M25;-9;2;0.998;0.002
M26;-18;2;0.998;0.002
M28;-9;2;0.998;0.002
M29;-9;2;0.998;0.002
M30;-9;2;0.998;0.002
Z01;-9;3;0.976;0.024
Z02;-9;3;0.997;0.003
Z03;-18;3;0.998;0.002
Z04;-9;3;0.996;0.004
Z05;-9;3;0.998;0.002
Z06;-9;3;0.997;0.003
Z07;-27;3;0.003;0.997
Z08;-9;3;0.998;0.002
Z09;-18;3;0.996;0.004
Z10;-18;3;0.998;0.002
Z11;-9;3;0.998;0.002
Z12;-9;3;0.998;0.002
Z13;-18;3;0.998;0.002
Z14;0;3;0.006;0.994
Z15;-9;3;0.009;0.991
Z16;-18;3;0.997;0.003
Z17;-18;3;0.002;0.998
Z18;-9;3;0.998;0.002
Z19;-27;3;0.997;0.003
Z20;-9;3;0.998;0.002
Z21;-18;3;0.997;0.003
Z22;-9;3;0.993;0.007
Z23;-9;3;0.989;0.011
Z24;-9;3;0.996;0.004
Z25;-9;3;0.941;0.059
Z26;-9;3;0.998;0.002
Z27;-9;3;0.998;0.002
Z28;-9;3;0.997;0.003
Z29;-9;3;0.998;0.002
Z30;-9;3;0.997;0.003
