Label;(%Miss);Pop:;cluster1;cluster2
J01;0;1;0.002;0.998
J02;0;1;0.002;0.998
J03;0;1;0.002;0.998
J04;0;1;0.002;0.998
J05;0;1;0.002;0.998
J06;0;1;0.002;0.998
J07;0;1;0.002;0.998
J08;0;1;0.002;0.998
J09;0;1;0.002;0.998
J10;0;1;0.002;0.998
J11;0;1;0.002;0.998
J12;0;1;0.002;0.998
J13;0;1;0.002;0.998
J14;0;1;0.002;0.998
J15;0;1;0.002;0.998
J16;0;1;0.002;0.998
J17;0;1;0.002;0.998
J18;0;1;0.002;0.998
J19;0;1;0.002;0.998
J20;0;1;0.002;0.998
J21;0;1;0.002;0.998
J22;-9;1;0.012;0.988
J23;0;1;0.002;0.998
J24;0;1;0.002;0.998
J25;0;1;0.002;0.998
J26;0;1;0.002;0.998
J27;-9;1;0.011;0.989
J28;0;1;0.002;0.998
J29;0;1;0.002;0.998
J30;0;1;0.002;0.998
M01;0;2;0.002;0.998
M02;0;2;0.002;0.998
M03;0;2;0.002;0.998
M04;0;2;0.002;0.998
M05;0;2;0.002;0.998
M06;0;2;0.002;0.998
M07;0;2;0.002;0.998
M08;0;2;0.002;0.998
M09;0;2;0.002;0.998
M10;0;2;0.002;0.998
M11;0;2;0.002;0.998
M12;-9;2;0.002;0.998
M13;0;2;0.002;0.998
M14;0;2;0.002;0.998
M15;0;2;0.002;0.998
M16;0;2;0.002;0.998
M17;-18;2;0.997;0.003
M18;0;2;0.002;0.998
M19;0;2;0.002;0.998
M20;0;2;0.002;0.998
M21;-9;2;0.998;0.002
M22;-9;2;0.998;0.002
M23;-9;2;0.998;0.002
M24;-9;2;0.998;0.002
M25;-9;2;0.998;0.002
M26;-18;2;0.998;0.002
M27;-18;2;0.998;0.002
M28;-9;2;0.998;0.002
M29;-9;2;0.998;0.002
M30;-9;2;0.998;0.002
Z01;-9;3;0.969;0.031
Z02;-9;3;0.998;0.002
Z03;-18;3;0.998;0.002
Z04;-9;3;0.998;0.002
Z05;-9;3;0.998;0.002
Z06;-9;3;0.998;0.002
Z07;-27;3;0.002;0.998
Z08;-9;3;0.998;0.002
Z09;-18;3;0.997;0.003
Z10;-18;3;0.998;0.002
Z11;-9;3;0.998;0.002
Z12;-9;3;0.998;0.002
Z13;-18;3;0.998;0.002
Z14;0;3;0.099;0.901
Z15;-9;3;0.059;0.941
Z16;-18;3;0.998;0.002
Z17;-18;3;0.002;0.998
Z18;-9;3;0.999;0.001
Z19;-27;3;0.998;0.002
Z20;-9;3;0.998;0.002
Z21;-18;3;0.997;0.003
Z22;-9;3;0.993;0.007
Z23;-9;3;0.990;0.010
Z24;-9;3;0.997;0.003
Z25;-9;3;0.989;0.011
Z26;-9;3;0.998;0.002
Z27;-9;3;0.999;0.001
Z28;-9;3;0.997;0.003
Z29;-9;3;0.998;0.002
