Label;(%Miss);Pop:;cluster1;cluster2;cluster3
J01;0;1;0.002;0.995;0.003
J02;0;1;0.002;0.994;0.004
J03;0;1;0.002;0.994;0.004
J04;0;1;0.002;0.994;0.004
J05;0;1;0.002;0.995;0.003
J06;0;1;0.002;0.994;0.004
J07;0;1;0.002;0.996;0.003
J08;0;1;0.002;0.994;0.004
J09;0;1;0.002;0.994;0.004
J10;0;1;0.002;0.994;0.004
J11;0;1;0.002;0.994;0.004
J12;0;1;0.002;0.994;0.004
J13;0;1;0.001;0.994;0.005
J14;0;1;0.002;0.994;0.004
J15;0;1;0.002;0.995;0.003
J16;0;1;0.002;0.994;0.004
J17;0;1;0.002;0.994;0.004
J18;0;1;0.002;0.994;0.004
J19;0;1;0.002;0.994;0.004
J20;0;1;0.002;0.995;0.003
J21;0;1;0.002;0.994;0.004
J22;-9;1;0.009;0.312;0.680
J23;0;1;0.002;0.994;0.004
J24;0;1;0.002;0.994;0.004
J25;0;1;0.002;0.995;0.003
J26;0;1;0.002;0.994;0.004
J27;-9;1;0.009;0.311;0.680
J28;0;1;0.001;0.994;0.004
J29;0;1;0.002;0.995;0.003
J30;0;1;0.002;0.995;0.004
M01;0;2;0.002;0.011;0.988
M02;0;2;0.002;0.012;0.986
M03;0;2;0.002;0.012;0.986
M04;0;2;0.002;0.012;0.986
M05;0;2;0.002;0.012;0.987
M06;0;2;0.002;0.012;0.986
M07;0;2;0.002;0.011;0.987
M08;0;2;0.002;0.012;0.987
M09;0;2;0.002;0.003;0.996
M10;0;2;0.002;0.003;0.996
M11;0;2;0.002;0.003;0.996
M12;-9;2;0.002;0.003;0.995
M13;0;2;0.002;0.003;0.995
M14;0;2;0.002;0.003;0.996
M15;0;2;0.002;0.003;0.996
M16;0;2;0.002;0.002;0.996
M17;-18;2;0.995;0.003;0.002
M18;0;2;0.002;0.003;0.996
M19;0;2;0.002;0.003;0.996
M20;0;2;0.002;0.012;0.986
M21;-9;2;0.996;0.002;0.002
M22;-9;2;0.996;0.002;0.002
M23;-9;2;0.996;0.002;0.002
M24;-9;2;0.996;0.002;0.002
M25;-9;2;0.996;0.002;0.002
M26;-18;2;0.997;0.002;0.002
M27;-18;2;0.997;0.002;0.002
M28;-9;2;0.997;0.002;0.002
M29;-9;2;0.996;0.002;0.002
M30;-9;2;0.996;0.002;0.002
Z01;-9;3;0.953;0.038;0.009
Z02;-9;3;0.995;0.002;0.002
Z03;-18;3;0.996;0.002;0.002
Z04;-9;3;0.995;0.002;0.003
Z05;-9;3;0.996;0.002;0.002
Z06;-9;3;0.996;0.002;0.002
Z07;-27;3;0.011;0.114;0.874
Z08;-9;3;0.996;0.002;0.002
Z09;-18;3;0.993;0.003;0.004
Z10;-18;3;0.996;0.002;0.002
Z11;-9;3;0.997;0.002;0.002
Z12;-9;3;0.996;0.002;0.002
Z13;-18;3;0.996;0.002;0.002
Z14;0;3;0.055;0.191;0.755
Z15;-9;3;0.024;0.004;0.971
Z16;-18;3;0.995;0.003;0.003
Z17;-18;3;0.002;0.008;0.991
Z18;-9;3;0.997;0.002;0.002
Z19;-27;3;0.996;0.002;0.002
Z20;-9;3;0.996;0.002;0.002
Z21;-18;3;0.994;0.003;0.003
Z22;-9;3;0.988;0.007;0.005
Z23;-9;3;0.983;0.008;0.010
Z24;-9;3;0.993;0.003;0.003
Z25;-9;3;0.937;0.002;0.061
Z26;-9;3;0.996;0.002;0.002
Z27;-9;3;0.997;0.002;0.001
Z28;-9;3;0.994;0.002;0.003
Z29;-9;3;0.997;0.001;0.001
Z30;-9;3;0.994;0.002;0.004
